Unnamed: 0,Business,Finance,Operations Management,Medicine,Healthcare,Public Health,Creative Arts,Creative Writing,Counseling,Engineering,Computer Science,Data Science,Mathematics,Marketing,Photography,Environmental Science,Sustainability,Gardening,Sports Science,Kinesiology,Athletic Coaching,Journalism,Editing,Storytelling,Law
AR/VR Development,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Accounting,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adaptability,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anthropology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archaeology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Architecture,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Art,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arts,0.22834389877890893,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1,0.9991386562921654,0.9851162512073978,0.036551988,1.0026997568201457e-05,1.0026997568201457e-05,0.036181853,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05,0.28878522156211955,1.0026997568201457e-05,1.0026997568201457e-05,1.0026997568201457e-05
Astronomy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Attention to Detail,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Automobiles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biology,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,0.9445191510276232,1,0.868249572,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,0.24317532860213256,0.2989900915289063,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05,1.0142804210808962e-05
Bird Watching,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blockchain Development,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Board Games,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Business Strategy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Business Studies,0.893626612,0.9981321522588082,1,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,0.29022100251426247,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,1.0069627758552077e-05,0.25815182910584417,1.0069627758552077e-05,1.0069627758552077e-05
C++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Calligraphy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
